step,r2_train,r2_test,mse_train,mse_test,n_samples
"(132, 9)",0.9990006869633332,,0.0005553741663337357,0.0008351446374716579,3
"(133, 6)",0.998662851304389,,0.0008338398364344273,0.000833838430114994,2
"(133, 9)",0.998992725704806,,0.0005139551531277471,0.0007446371652798504,3
"(134, 6)",0.9985484731969978,,0.0008846950595466771,0.0008846979821139162,2
"(134, 9)",0.9990919874354378,,0.00043516063117921076,0.000592158082603405,3
"(135, 6)",0.9984978326184728,,0.0008951439490515981,0.0008951403616264287,2
"(135, 9)",0.9991953241167931,,0.0003680383691591575,0.00046267178337359635,3
"(136, 6)",0.9985269232631696,,0.0008567571711454142,0.0008567641130352204,2
"(136, 9)",0.9991834361875995,,0.0003293712963536207,0.00038017373479220953,3
"(137, 6)",0.9986025436754001,,0.0007939546678978957,0.0007939551995963332,2
"(137, 9)",0.9990850795481763,,0.0003278879939272911,0.0003698878484062767,3
"(138, 6)",0.9986657896559377,,0.0007408780431529916,0.0007408804984173848,2
"(138, 9)",0.9989802950814395,,0.00032875981392564414,0.00035823864830240284,3
"(139, 6)",0.9983871036173579,,0.0008737620791577237,0.0008737656817911302,2
"(139, 9)",0.9988835652861314,,0.00032557051876592216,0.00033237769972349797,3
"(140, 6)",0.9981790457237301,,0.0009628302475300074,0.0009628342662474356,2
"(140, 9)",0.9988319577716301,,0.0003185434062706022,0.0003036814010611377,3
"(141, 6)",0.9980736217078173,,0.0009943454324227428,0.0009943418531367294,2
"(141, 9)",0.9988501529747797,,0.00029354730667195775,0.0002786138239425179,3
"(142, 6)",0.9991554984461632,,0.00042469470341442326,0.0004246919564745553,2
"(142, 9)",0.9988050808722515,,0.0002830767100937481,0.00021151499757077248,3
"(143, 6)",0.9983483582403203,,0.0008096399746276477,0.0008096344351014385,2
"(143, 9)",0.9984475505374518,,0.00030307593867099844,0.000212534780661817,3
"(144, 6)",0.9985473716326045,,0.0006942068028677,0.0006942076160582218,2
"(144, 9)",0.9987524103357199,,0.00031903188312949174,0.0002642203673071324,3
"(145, 6)",0.998569230695759,,0.0006651504773064782,0.0006651517839133664,2
"(145, 9)",0.9979550472006069,,0.0003358318227430221,0.00016239617851439793,3
"(146, 6)",0.9986514842924772,,0.0006108566692611011,0.0006108560535705521,2
"(146, 9)",0.9984265367405326,,0.0003362541610774742,0.00019399297630519682,3
"(147, 6)",0.9987611155750691,,0.0005473897527837974,0.0005473890189994524,2
"(147, 9)",0.9975668470422048,,0.0003813070629306653,0.0001179152509238089,3
"(148, 6)",0.998871200172506,,0.00048575955244899117,0.00048575938865822235,2
"(148, 9)",0.9975626578114835,,0.0004558420204061814,0.00011269021086649588,3
"(149, 6)",0.9992803500528322,,0.0003020308138609299,0.0003020283912875502,2
"(149, 9)",0.9972459943362142,,0.0004985907571589156,0.00014887229038194856,3
"(150, 6)",0.999282056443267,,0.0002938768970290321,0.0002938787642216774,2
"(150, 9)",0.9982878517300278,,0.0004403688896081881,0.0002200604084306977,3
"(151, 6)",0.9994607920876327,,0.00021476910718441333,0.00021476831477887522,2
"(151, 9)",0.9967301612717254,,0.000556221337653936,0.00010812051175780947,3
"(152, 6)",0.9994430850131828,,0.00021596134153854173,0.0002159612101889875,2
"(152, 9)",0.9971527286440247,,0.00047283956975260053,0.00013876425748113517,3
"(153, 6)",0.9994856435908002,,0.00019424859242275875,0.00019424866352714084,2
"(153, 9)",0.9973391261411118,,0.0005612321535166669,0.00011164431526451827,3
"(154, 6)",0.9994152533514367,,0.00021447825825238038,0.00021447612924779688,2
"(154, 9)",0.997244952109367,,0.00046920614811239524,0.00017106039860035713,3
"(155, 6)",0.9994579320666335,,0.00019323429987363469,0.00019323357216185043,2
"(155, 9)",0.9977924893216799,,0.0006909285711786708,0.00024126570460717228,3
