target,auroc,auprc,ece
"cell(2,2)_ch2",1.0,1.0,0.001839872667435229
"cell(2,2)_ch3",1.0,1.0,0.00284069717794659
"cell(2,2)_ch4",1.0,1.0,0.0026776360719622293
"cell(2,2)_ch5",1.0,1.0,0.0009477151666176781
"cell(2,2)_ch6",1.0,1.0,0.0022445203388776346
"cell(2,2)_ch7",1.0,1.0,0.0026798128589518105
"cell(2,2)_ch8",1.0,1.0,0.005257043296001666
"cell(2,2)_ch9",1.0,1.0,0.0023981336816701207
"cell(2,2)_ch10",0.9999999999999999,1.0,0.0008756871714451691
"cell(2,2)_ch11",1.0,1.0,0.0018368088639276903
"cell(2,3)_ch0",1.0,1.0000000000000002,0.0007621605487809326
"cell(2,3)_ch1",1.0,1.0,0.0004672022427780683
"cell(2,3)_ch2",1.0,0.9999999999999999,0.0003563505545129667
"cell(2,3)_ch3",1.0,1.0,0.0005410676507362325
"cell(2,3)_ch4",1.0,1.0,0.001219954290928834
"cell(2,3)_ch5",1.0,1.0,0.0014231334565110137
"cell(2,3)_ch6",1.0,1.0,0.0010761617269235985
"cell(2,3)_ch7",1.0,1.0,0.001085003366864735
"cell(2,3)_ch8",1.0,1.0,0.0003329627490278143
"cell(2,3)_ch9",1.0,0.9999999999999999,0.00043990456170133716
"cell(2,3)_ch10",1.0,1.0,0.00039232613854272636
"cell(2,3)_ch11",1.0,1.0,0.0007425637828396748
"cell(2,4)_ch0",1.0,1.0,0.003172291764782682
"cell(2,4)_ch1",1.0,0.9999999999999999,0.005049338579855252
"cell(2,4)_ch2",1.0,1.0,0.0021950582152470213
"cell(2,4)_ch3",1.0,1.0,0.0023435143971773133
"cell(2,4)_ch4",1.0,1.0,0.0005744596389254653
"cell(2,4)_ch5",1.0,0.9999999999999999,0.0010596509705870748
"cell(2,4)_ch6",1.0,1.0,0.0035714625579153503
"cell(2,4)_ch7",0.9998305515546895,0.9958202716823407,0.004775915598204791
"cell(2,4)_ch8",1.0,1.0,0.0015423008987583231
"cell(2,4)_ch9",0.9997175407212128,0.9920227920227921,0.005089695202590581
"cell(2,4)_ch10",1.0,1.0,0.0013548317748339027
"cell(2,4)_ch11",1.0,1.0,0.0023248747699716457
"cell(2,5)_ch0",1.0,0.9999999999999999,0.0017001725526136625
"cell(2,5)_ch1",0.9999863032461307,0.9998969284683571,0.005361110507436645
"cell(2,5)_ch2",1.0,1.0,0.006358429390871619
"cell(2,5)_ch3",1.0,1.0,0.0017557073148649631
"cell(2,5)_ch4",1.0,1.0,0.0037509750439716624
"cell(2,5)_ch5",1.0,1.0,0.0011995482438497834
"cell(2,5)_ch6",1.0,1.0,0.0021428101550374458
"cell(2,5)_ch7",0.9985051489314584,0.9554513232725306,0.009647647584091893
"cell(2,5)_ch8",1.0,1.0000000000000002,0.001856119371116188
"cell(2,5)_ch9",0.9995017163104861,0.9843097643097642,0.00628306536561838
"cell(2,5)_ch10",0.9999999999999999,1.0,0.003316134789118492
"cell(2,5)_ch11",1.0,0.9999999999999999,0.0008967536750392603
"cell(2,6)_ch0",0.8571081409477521,0.2869014433447604,0.03305099998501508
"cell(2,6)_ch1",0.8554349705984088,0.33636994771014594,0.12917457801828872
"cell(2,6)_ch2",0.919327373350362,0.7314720283152998,0.07355016817841516
"cell(2,6)_ch3",0.97573055028463,0.823944186241962,0.018036904214629494
"cell(2,6)_ch4",0.8391553915539155,0.3527705473834939,0.03162749876349491
"cell(2,6)_ch5",0.9204665959703074,0.4586252771121122,0.023003061487615457
"cell(2,6)_ch6",0.8238290333296423,0.27301437415241375,0.045523237825005405
"cell(2,6)_ch7",0.886574074074074,0.3024980190085501,0.02904599694185507
"cell(2,6)_ch8",0.9472830494728304,0.7793439607169845,0.011957518599139697
"cell(2,6)_ch9",0.7911425124935378,0.04716284368030027,0.036502108139096975
"cell(2,6)_ch10",0.6740823136818687,0.17956148181462434,0.060770692350933075
"cell(2,6)_ch11",0.9204777721001534,0.36321976403484235,0.02472145153720839
"cell(3,0)_ch0",0.8448938897592935,0.2966195011693582,0.031964538517471976
"cell(3,0)_ch1",0.7318955042527339,0.08472082527772881,0.032332997029125794
"cell(3,0)_ch2",0.818908585331943,0.20490241949775911,0.07787097578749774
"cell(3,0)_ch3",0.8776177658142665,0.6512595810637797,0.06884449788708519
"cell(3,0)_ch4",0.8108676599474146,0.2784417874110459,0.03204335889826477
